scientificName,distributionPage,countries,nrRemarks
Agdistis adactyla,23,KZ,
Agdistis falkovitschi,23,KZ UZ TM MN,
Agdistis flavissima,23,KZ tm tk cn-xj,
Agdistis frankeniae,23,kz ru ir,
Agdistis intermedia,23,kz hu,
Gillmeria macrornis,23,kz ru mn cn,
Gillmeria miantodactyla,23,kz,
Gillmeria pallidactyla,24,kz,
Gillmeria rhusiodactyla,24,kz am ir ru,
Gillmeria tetradactyla,24,kz tj  kg ru,
Platyptilia calodactyla,24,ru kz mn cn,
Platyptilia farfarella,24,kl kz id ph,
Platyptilia gonodactyla,24,kz,
Platyptilia nemoralis,24,kz ru jp ,
Platyptilia romanorum,24,kz ru-al,
Platyptilia tesseradactyla,24,kz ru ir mn,
Paraplatyptilia metzneri,25,kz am az ir kg uz tj cn ru mn,
Paraplatyptilia hedemanni,25,,Record from East Kazakhstan based on erroneous identification
Paraplatyptilia terminalis,25,kz ru cn,
Amblyptilia grisea,25,kz kg tj ru mn,
Amblyptilia punctidactyla,25,kz,
Cnaemidophorus rhododactylus,25,kz,
Stenoptilia alaii,25,kz kj tj,
Stenoptilia bipunctidactyla,25,kz,
Stenoptilia eborinodactyla,26,kz ru,
Stenoptilia graphodactyla,26,ru cn kz,
Stenoptilia latistriga,26,kz ru,
Stenoptilia nolckeni,26,kz ru kr,
Stenoptilia pteropdactyla,26,kz,
Stenoptilia stigmodactyla,26,kz ir ru,
Stenoptilia veronicae,26,kz ru,
Marasmarcha cinnamomea,27,kz ru kg tj af cn,
Marasmarcha colossa,27,kz ru kg tj uz af cn-xj,
Marasmarcha rhypodactyla,27,kz tr lb iq ru mn,
Oxyptilus chrysodactylus,27,kz ru cn jp,
Oxyptilus parvidactyla,27,kz ir ru,
Crombrugghia distans,27,kz ir af ru cn in,
Crombrugghia tristis,27,kz tr sy ir ru cn,
Procapperia kuldschaensis,28,kz af pk ru mn cn-xj,
Capperia fusca,28,kz tr tj,
Capperia trichodactyla,28,kz kg ru jp cn,
Oidaematophorus lithodactylus,28,kz ru cn jp,
Hellinsia carphodactyla,28,kz ru,
Hellinsia chrysocomae,28,kz ru mn cn,
Hellinsia didactylites,28,kz ru cn,
Hellinsia distincta,29,kz am ru cn jp,
Hellinsia inulae,29,kz ru cn jp,
Hellinsia lienigiana,29,kz ru cn kr jp,
Hellinsia osteodactyla,29,kz ru mn cn jp,
Hellinsia trimmatodactyla,29,kz ru mn,
Tabulaephorus marptys,29,kz ru mn cn,
Emmelina monodactyla,29,kz ru mn cn in ph,
Merridieldia baliodactyla,29,kz ru cn,
Merridieldia tridactyla,30,kz ru tr ir ru,
Pterophorus pentadactylus,30,kz ir ru cn,
