taxonId,scientificName,taxonRank,family,genus,specificEpithet,speciesCitation,infraspecificEpithet,infraspecificCitation,comments
24,Tamarix gallica L.,species,,Tamarix,gallica,L.,,,
24,Tamarix smyrnensis Bunge,species,,Tamarix,smyrnensis,Bunge,,,
24,Myricaria germanica Desvaux.,species,,Myricaria,germanica,Desvaux.,,,
28,Limonium vulgare ssp. serotinum Reichenb.,subspecies,,Limonium,vulgare,,serotinum,Reichenb.,(=Statice gmelina Koch)
35,Limonium vulgare Miller.,species,,Limonium,vulgare,Miller.,,,
35,Limonium binervosum ssp. binervosum (G. E. Sm.) Salmon,subspecies,,Limonium,binervosum,,binervosum,(G. E. Sm.) Salmon,
37,Limonium,genus,,Limonium,,,,,
39,Limonium vulgare Miller,species,,Limonium,vulgare,Miller,,,
39,Limonium binervosum (G. E. Sm.) Salmon.,species,,Limonium,binervosum,(G. E. Sm.) Salmon.,,,
39,Limonium obtusifolium (Rouy) Erben,species,,Limonium,obtusifolium,(Rouy) Erben,,,
39,Limonium virgatum (Willd.) Fourr.,species,,Limonium,virgatum,(Willd.) Fourr.,,,
39,Limonium cordatum Miller,species,,Limonium,cordatum,Miller,,,
39,Limonium pectinatum (Aiton) O. Kuntze.,species,,Limonium,pectinatum,(Aiton) O. Kuntze.,,,
47,Salsola oppositifolia Desfontaines.,species,,Salsola,oppositifolia,Desfontaines.,,,
52,Atriplex portulacoides L.,species,,Atriplex,portulacoides,L.,,,
52,Euphorbia pithyusa L.,species,,Euphorbia,pithyusa,L.,,,
52,Frankenia,genus,,Frankenia,,,,,
58,Artemisia campestris L.,species,,Artemisia,campestris,L.,,,
58,Artemisia scoparia W.K.,species,,Artemisia,scoparia,W.K.,,,
58,Chenopodium fruticosum L.,species,,Chenopodium,fruticosum,L.,,,
58,Erica cinerea L.,species,,Erica,cinerea,L.,,,
58,Santolina chamaecyparissus L.,species,,Santolina,chamaecyparissus,L.,,,
63,Atriplex halimus L.,species,,Atriplex,halimus,L.,,,
63,Stachys glutinosa L.,species,,Stachys,glutinosa,L.,,,
63,Euphorbia spinosa L.,species,,Euphorbia,spinosa,L.,,,
66,Scabiosa candicans Jordan,species,,Scabiosa,candicans,Jordan,,,
66,Scabiosa pyrenaica All.,species,,Scabiosa,pyrenaica,All.,,,
66,Scleranthus,genus,,Scleranthus,,,,,
66,Limoniastrum monopetalum Boissier,species,,Limoniastrum,monopetalum,Boissier,,,
72,Frankenia,genus,,Frankenia,,,,,
72,Limonium minutum (L.) Fourr.,species,,Limonium,minutum,(L.) Fourr.,,,
80,Limonium gmelini (Willd.),species,,Limonium,gmelini,(Willd.),,,
