taxonId,area,gazetteer,status,referenceID,remarks
9,MG,iso,native,,
10,AU,iso,native,,
10,FJ,iso,native,,
12,JP,iso,native,1947,
12,LK,iso,native,,
12,SG,iso,native,,
12,TW,iso,native,,
24,KE,iso,native,,
25,AF,iso,native,1725,
25,AL,iso,native,1946,
25,AM,iso,native,,
25,AT,iso,native,979,
25,BG,iso,native,1946,
25,BY,iso,native,,
25,CH,iso,native,979,
25,CN,iso,native,1087,
25,CZ,iso,native,979,
25,DE,iso,native,979,
25,DK,iso,native,520,
25,DZ,iso,native,,
25,ES,iso,native,979,
25,FR,iso,native,979,
25,FR-H,iso,native,,
25,GR,iso,native,1946,
25,HU,iso,native,979,
25,IL,iso,native,,
25,IR,iso,native,,
25,IT,iso,native,979,
25,IT-82,iso,native,979,
25,JO,iso,native,,
25,KG,iso,native,,
25,KZ,iso,native,,
25,LY,iso,native,,
25,MA,iso,native,,
25,MK,iso,native,1946,
25,MN,iso,native,,
25,NL,iso,native,,
25,PL,iso,native,979,
25,PT,iso,native,,
25,RO,iso,native,979,
25,RU,iso,native,1961,
25,SK,iso,native,979,
25,TJ,iso,native,,
25,TM,iso,native,,
25,TN,iso,native,,
25,TR,iso,native,1946,
30,BH,iso,native,,
30,IR,iso,native,,
30,OM,iso,native,1726,
30,YE,iso,native,,
30,YE-AD,iso,native,,
31,ZA,iso,native,,
32,MA,iso,native,,
33,US,iso,native,,
34,AZ,iso,native,,
35,ZA,iso,native,,
36,BH,iso,native,,
36,EG,iso,native,,
36,IL,iso,native,,
36,IR,iso,native,,
36,OM,iso,native,1726,
36,PK,iso,native,1915,
36,SA,iso,native,,
36,SD,iso,native,,
36,SO,iso,native,,
36,TN,iso,native,,
36,YE,iso,native,,
37,ZA,iso,native,,
38,KG,iso,native,,
38,KZ,iso,native,1942,
38,MN,iso,native,,
39,EG,iso,native,,
39,JO,iso,native,,
39,MA,iso,native,,
39,SA,iso,native,,
39,TN,iso,native,,
39,YE,iso,native,,
40,AL,iso,native,1946,
40,BE,iso,native,979,
40,DE,iso,native,979,
40,DK,iso,native,520,
40,ES,iso,native,979,
40,FR,iso,native,979,
40,GB-ENG,iso,native,,
40,GR,iso,native,1946,
40,HR,iso,native,1946,
40,IT,iso,native,979,
40,IT-88,iso,native,979,
40,NL,iso,native,979,
40,RO,iso,native,979,
40,RS,iso,native,1946,
42,ES,iso,native,979,
43,CV,iso,native,,
43,ES,iso,native,979,
43,ES-CN,iso,native,,
43,MA,iso,native,,
43,PT,iso,native,979,
43,PT-30,iso,native,,
43,TN,iso,native,,
44,GR,iso,native,1946,
45,AO,iso,native,,
46,ZA,iso,native,,
47,ES-CN,iso,native,,
49,ZA,iso,native,,
50,TR,iso,native,,
51,IR,iso,native,,
51,RU,iso,native,,
51,TM,iso,native,,
51,TR,iso,native,,
53,YE,iso,native,,
54,TJ,iso,native,,
54,TM,iso,native,,
55,BW,iso,native,,
55,NA,iso,native,,
55,ZA,iso,native,,
56,ZA,iso,native,,
57,KE,iso,native,,
57,ZA,iso,native,,
59,CY,iso,native,,
59,TN,iso,native,,
60,RU,iso,native,,
61,NA,iso,native,,
62,NA,iso,native,,
63,ZA,iso,native,,
65,ZA,iso,native,,
66,LY,iso,native,,
67,ZA,iso,native,,
68,ZA,iso,native,,
70,ZA,iso,native,,
71,ZA,iso,native,,
72,ES,iso,native,979,
73,CD,iso,native,,
73,MW,iso,native,1021,
74,IR,iso,native,1923,Alborz Province
74,KZ,iso,native,1942,
74,MN,iso,native,,
74,TJ,iso,native,,
74,TM,iso,native,,
74,UZ,iso,native,,
75,AF,iso,native,,
75,CN,iso,native,1087,
75,MN,iso,native,,
75,TJ,iso,native,1942,
75,TM,iso,native,,
77,AL,iso,native,1946,
77,BG,iso,native,1946,
77,CY,iso,native,,
77,DZ,iso,native,,
77,EG,iso,native,,
77,ES,iso,native,979,
77,ES-CN,iso,native,,
77,ES-IB,iso,native,,
77,FR,iso,native,979,
77,FR-H,iso,native,979,
77,GR,iso,native,1946,
77,GR-M,iso,native,979,
77,IL,iso,native,,
77,IR,iso,native,,
77,IT,iso,native,979,
77,IT-82,iso,native,979,
77,IT-88,iso,native,979,
77,JO,iso,native,,
77,KZ,iso,native,,
77,LY,iso,native,,
77,MA,iso,native,,
77,MT,iso,native,979,
77,PT,iso,native,979,
77,RO,iso,native,979,
77,RU,iso,native,,
77,SA,iso,native,,
77,TN,iso,native,,
77,TR,iso,native,,
85,ZA,iso,native,,
86,GM,iso,native,,
87,TJ,iso,native,1942,
87,TM,iso,native,,
87,UZ,iso,native,1942,
89,ZA,iso,native,,
90,ES,iso,native,979,
91,ES,iso,native,979,
92,ZA,iso,native,,
93,YE,iso,native,,
94,BH,iso,native,,
94,OM,iso,native,1929,
94,SA,iso,native,,
94,YE,iso,native,,
95,EG,iso,native,,
95,ES,iso,native,,
95,IL,iso,native,,
95,TN,iso,native,,
97,ES,iso,native,979,
97,GR,iso,native,,
97,IT-88,iso,native,979,
97,TN,iso,native,,
98,AL,iso,native,1946,
98,BG,iso,native,1946,
98,CY,iso,native,,
98,DZ,iso,native,,
98,ES,iso,native,979,
98,ES-CN,iso,native,,
98,FR,iso,native,979,
98,FR-H,iso,native,979,
98,GR,iso,native,1946,
98,GR-M,iso,native,979,
98,HU,iso,native,,
98,IL,iso,native,,
98,IT,iso,native,979,
98,IT-82,iso,native,979,
98,IT-88,iso,native,979,
98,LB,iso,native,,
98,LY,iso,native,,
98,MA,iso,native,,
98,PL,iso,native,979,
98,PT,iso,native,979,
98,SY,iso,native,,
98,TN,iso,native,,
98,TR,iso,native,1946,
101,IR,iso,native,,
101,TM,iso,native,,
102,GR,iso,native,1946,
103,KZ,iso,native,,
104,ZA,iso,native,,
105,AF,iso,native,1725,
105,CN,iso,native,1087,
105,KG,iso,native,,
105,KZ,iso,native,1942,
105,MN,iso,native,,
105,RU,iso,native,,
105,TJ,iso,native,,
105,TM,iso,native,,
105,UZ,iso,native,,
106,IR,iso,native,,
106,YE,iso,native,,
107,ZA,iso,native,,
108,AZ,iso,native,1942,
108,HU,iso,native,979,
108,KZ,iso,native,,
108,RO,iso,native,979,
108,RU,iso,native,1942,
111,IR,iso,native,,
112,ZA,iso,native,,
113,ZA,iso,native,,
114,AZ,iso,native,,
114,TM,iso,native,,
115,IR,iso,native,,
115,TM,iso,native,,
116,ZA,iso,native,,
117,ZA,iso,native,,
118,KE,iso,native,1955,
118,TZ,iso,native,,
119,ZA,iso,native,,
120,KE,iso,native,,
121,ZA,iso,native,,
122,ZA,iso,native,,
123,KE,iso,native,,
123,TZ,iso,native,,
124,NA,iso,native,,
124,ZA,iso,native,,
125,DZ,iso,native,,
126,CD,iso,native,,
126,ET,iso,native,1956,
126,KE,iso,native,,
126,LS,iso,native,,
126,MW,iso,native,1021,
126,RW,iso,native,,
126,TZ,iso,native,,
126,UG,iso,native,,
126,ZA,iso,native,,
126,ZM,iso,native,,
126,ZW,iso,native,,
127,ZA,iso,native,,
128,KG,iso,native,,
129,ES,iso,native,979,
129,FR,iso,native,979,
129,KZ,iso,native,,
129,LY,iso,native,,
129,MA,iso,native,,
129,PT,iso,native,,
129,RU,iso,native,,
