nameID,relatedNameID,type,referenceID,remarks
209,23,type,1676,monotypy
26,18,type,,monotypy
26,19,type,,original designation
79,22,type,1676,monotypy
307,290,type,1777,original designation
301,291,type,,original designation
270,268,type,603,original designation
267,264,type,603,original designation
262,260,type,1774,original designation
259,233,type,1875,monotypy
2787,2785,type,1175,monotypy
2807,2804,type,198,original designation
2796,2794,type,824,monotypy
2792,2786,type,911,original designation
2801,2795,type,1203,original designation
1674,1671,type,481,original designation
2129,2127,type,1763,monotypy
2069,2068,type,1623,monotypy
2119,2116,type,727,original designation
1979,1914,type,,subsequent designation
1932,1916,type,1674,original designation
2123,2121,type,138,original designation
1798,1796,type,752,original designation
1370,1367,type,693,original designation
1644,1640,type,693,original designation
1636,1634,type,693,original designation
2412,2409,type,693,original designation
1696,1675,type,1674,original designation
1619,1614,type,1889,original designation
1748,1742,type,1889,original designation
2373,2350,type,1889,original designation
1836,1834,type,719,original designation
2408,2405,type,,original designation
2314,2159,type,945,
2191,2165,type,1674,original designation
2192,2160,type,1767,
2348,2163,type,1174,monotypy
2442,2418,type,1189,original designation
2443,2419,type,911,original designation
1832,1817,type,1131,monotypy
1741,1738,type,823,monotypy
1884,1838,type,260,
2079,2070,type,719,original designation
2404,2402,type,726,original designation
1551,1545,type,,subsequent designation
1633,1622,type,742,original designation
1729,1724,type,693,original designation
1761,1756,type,1889,original designation
1813,1804,type,738,original designation
2137,2132,type,1174,original designation
1755,1754,type,696,original designation
1670,1667,type,1782,original designation
1656,1653,type,1024,original designation
1664,1658,type,1767,monotypy
415,390,type,1174,subsequent designation
339,334,type,1189,original designation
353,337,type,693,original designation
363,336,type,693,original designation
380,377,type,102,original designation
380,378,type,1684,original designation
439,438,type,844,original designation
330,329,type,76,original designation
1378,1374,type,1676,monotypy
1389,1388,type,86,original designation
1499,1486,type,9,original designation
1473,1471,type,260,original designation
1290,1284,type,1674,original designation
1326,1285,type,260,original designation
1466,1441,type,1871,subsequent designation
1530,1527,type,1830,original designation
1266,1264,type,24,original designation
1505,1503,type,24,original designation
1433,1392,type,693,original designation
1366,1361,type,726,original designation
1335,1332,type,1676,subsequent designation
1526,1517,type,45,original designation
1276,1269,type,1674,original designation
1538,1532,type,1771,monotypy
1482,1478,type,,monotypy
1511,1507,type,1674,monotypy
1418,1390,type,29,monotypy
1147,1146,type,51,original designation
1258,1256,type,99,original designation
563,557,type,1178,monotypy
571,558,type,1684,original designation
1233,1220,type,1769,monotypy
1233,1221,type,1178,subsequent designation
1262,1261,type,693,original designation
1143,1138,type,693,original designation
505,503,type,693,original designation
452,442,type,461,original designation
961,578,type,1674,original designation
1095,579,type,1767,subsequent designation
954,580,type,1763,original designation
1215,1202,type,693,original designation
893,582,type,693,original designation
1179,1148,type,1767,monotypy
1180,1151,type,1674,original designation
543,516,type,1674,original designation
471,441,type,1674,original designation
2481,2457,type,983,original designation
2743,2724,type,107,original designation
2602,2600,type,1674,original designation
2579,2512,type,1674,original designation
2599,2598,type,719,original designation
2780,2751,type,1674,original designation
2711,2703,type,775,original designation
2508,2506,type,101,original designation
2684,2606,type,1547,subsequent designation
2684,2610,type,,subsequent designation
2684,2611,type,,subsequent designation
2597,2588,type,1692,original designation
2701,2700,type,1684,monotypy
2723,2702,type,84,monotypy
2504,2503,type,1875,monotypy
2484,2483,type,1174,monotypy
11,8,type,1245,original designation
14,7,type,829,original designation
23,2820,later homonym,,homonym
579,2821,later homonym,,homonym
178,146,later homonym,,homonym
2805,2823,later homonym,,homonym
1839,2824,later homonym,,homonym
1571,2819,replacement name,,homonym
1805,2825,later homonym,,homonym
1654,2826,later homonym,,homonym
581,2822,later homonym,,homonym
2517,2579,later homonym,,homonym
2819,1670,later homonym,,homonym
21,19,superfluous,,emendation
1915,1914,superfluous,,emendation
2161,2159,superfluous,,emendation
1547,1545,superfluous,,emendation
1278,1275,superfluous,,emendation
1149,1148,superfluous,,emendation
2612,2606,superfluous,,emendation
2614,2606,superfluous,,emendation
2615,2606,superfluous,,emendation
20,18,superfluous,,misspelling
234,233,superfluous,,misspelling
2410,2409,superfluous,,misspelling
2162,2159,superfluous,,misspelling
2164,2159,superfluous,,misspelling
2166,2159,superfluous,,misspelling
2420,2418,superfluous,,misspelling
2133,2132,superfluous,,misspelling
2146,2143,superfluous,,misspelling
1661,1658,superfluous,,misspelling
1531,1528,superfluous,,misspelling
1333,1332,superfluous,,misspelling
1391,1390,superfluous,,misspelling
1127,1127,superfluous,,misspelling
1128,1127,superfluous,,misspelling
2519,2516,superfluous,,misspelling
2613,2606,superfluous,,misspelling
2616,2606,superfluous,,misspelling
2502,2501,superfluous,,misspelling
2441,2440,superfluous,,misspelling
1238,1237,superfluous,1905,misspelling
2607,2606,superfluous,,unavailable
2608,2606,superfluous,,unavailable
2609,2606,superfluous,,unavailable
208,209,basionym,1872,
108,109,basionym,383,
40,41,basionym,,
136,137,basionym,1872,
25,26,basionym,,
98,99,basionym,1875,
77,78,basionym,1872,
165,166,basionym,1872,
75,76,basionym,383,
192,193,basionym,1823,
304,305,basionym,,
300,301,basionym,,
302,303,basionym,,
292,293,basionym,226,
272,273,basionym,1189,
274,275,basionym,1189,
276,277,basionym,1189,
278,279,basionym,1189,
287,288,basionym,1207,
280,281,basionym,1790,
261,262,basionym,1763,
2806,2807,basionym,,
2814,2815,basionym,693,
2791,2792,basionym,911,
2800,2801,basionym,605,
2118,2119,basionym,1228,
2052,2053,basionym,1092,
1964,1965,basionym,1878,
1977,1978,basionym,472,
1931,1932,basionym,472,
1994,1995,basionym,1875,
1943,1944,basionym,1171,
1947,1948,basionym,1171,
1961,1962,basionym,1876,
2122,2123,basionym,1763,
1647,1648,basionym,1663,
2022,2023,basionym,1771,
1939,1940,basionym,1485,
2400,2401,basionym,1763,
1797,1798,basionym,1189,
2038,2039,basionym,582,
1637,1638,basionym,1225,
1368,1369,basionym,1213,
1372,1373,basionym,1205,
1641,1642,basionym,604,
406,407,basionym,1189,
2809,2810,basionym,1653,
1725,1726,basionym,,
1727,1728,basionym,1219,
1732,1733,basionym,1245,
1735,1736,basionym,,
1635,1636,basionym,219,
2411,2412,basionym,1746,
1650,1651,basionym,1054,
1645,1646,basionym,1835,
1692,1693,basionym,1871,
1689,1690,basionym,625,
1686,1687,basionym,1237,
1715,1716,basionym,645,
1721,1722,basionym,587,
1678,1679,basionym,851,
1680,1681,basionym,851,
1682,1683,basionym,851,
1719,1720,basionym,1831,
1701,1702,basionym,862,
1694,1696,basionym,472,
1684,1685,basionym,44,
1676,1677,basionym,176,
1618,1619,basionym,510,
1747,1748,basionym,1763,
2389,2390,basionym,582,
2354,2355,basionym,1883,
2381,2382,basionym,197,
2368,2369,basionym,1211,
2379,2380,basionym,582,
2386,2387,basionym,582,
2364,2365,basionym,1884,
2398,2399,basionym,1228,
2384,2385,basionym,1884,
2352,2353,basionym,1063,
2372,2373,basionym,374,
1835,1836,basionym,1242,
2406,2407,basionym,1218,
2226,2227,basionym,1654,
2308,2309,basionym,377,
2313,2314,basionym,1092,
2263,2264,basionym,1875,
2190,2191,basionym,1549,
2176,2177,basionym,1872,
2291,2292,basionym,1617,
2270,2271,basionym,318,
2233,2234,basionym,1604,
2208,2209,basionym,1595,
2256,2257,basionym,896,
2282,2283,basionym,,
2327,2328,basionym,1875,
2185,2186,basionym,,
2345,2346,basionym,499,
2254,2255,basionym,1575,
424,425,basionym,415,
2304,2305,basionym,527,
2219,2220,basionym,1771,
2332,2333,basionym,582,
2251,2252,basionym,1763,
2249,2250,basionym,1174,
2287,2288,basionym,1171,
2302,2303,basionym,1174,
2445,2446,basionym,1189,
2453,2454,basionym,601,
2426,2427,basionym,1189,
2422,2423,basionym,226,
1831,1832,basionym,1510,
1739,1740,basionym,582,
1883,1884,basionym,1871,
1903,1904,basionym,527,
1861,1862,basionym,649,
1896,1897,basionym,1417,
1873,1874,basionym,1575,
1877,1878,basionym,383,
1901,1902,basionym,1848,
1907,1908,basionym,1575,
1891,1892,basionym,1835,
1871,1872,basionym,1771,
1859,1860,basionym,986,
1875,1876,basionym,1165,
1851,1852,basionym,176,
1866,1867,basionym,591,
1854,1855,basionym,1066,
1840,1841,basionym,1771,
1879,1880,basionym,1066,
1847,1848,basionym,1771,
1899,1900,basionym,1771,
1889,1890,basionym,1157,
1845,1846,basionym,1771,
1868,1869,basionym,1771,
1881,1882,basionym,176,
1863,1864,basionym,586,
1910,1911,basionym,1189,
1887,1888,basionym,1771,
1856,1857,basionym,1066,
1893,1894,basionym,1763,
2078,2079,basionym,1242,
2085,2086,basionym,1884,
2098,2099,basionym,1189,
2102,2103,basionym,1407,
2093,2094,basionym,719,
2071,2072,basionym,1211,
2087,2088,basionym,1399,
1745,1746,basionym,1054,
1801,1802,basionym,1228,
2403,2404,basionym,1189,
1550,1551,basionym,,
1596,1597,basionym,862,
1589,1590,basionym,1771,
1559,1560,basionym,1155,
1583,1584,basionym,1835,
1607,1608,basionym,582,
1556,1557,basionym,1181,
1561,1562,basionym,1763,
1566,1567,basionym,1183,
1568,1569,basionym,1763,
1605,1606,basionym,1763,
1573,1574,basionym,1876,
1575,1576,basionym,481,
1578,1579,basionym,1171,
1581,1582,basionym,481,
1587,1588,basionym,1171,
2414,2415,basionym,582,
1609,1610,basionym,1839,
1563,1564,basionym,1763,
1730,1731,basionym,717,
1632,1633,basionym,1574,
1759,1760,basionym,,
1788,1789,basionym,290,
1791,1792,basionym,1189,
1767,1768,basionym,1611,
1783,1784,basionym,1190,
1812,1813,basionym,582,
1806,1807,basionym,1211,
1809,1810,basionym,1237,
2134,2135,basionym,1763,
2156,2157,basionym,1182,
2152,2153,basionym,1763,
2154,2155,basionym,1157,
2143,2144,basionym,1875,
1655,1656,basionym,1871,
1663,1664,basionym,472,
398,399,basionym,1790,
413,414,basionym,862,
408,409,basionym,1269,
420,421,basionym,,
391,392,basionym,,
400,401,basionym,1607,
426,427,basionym,1607,
404,405,basionym,1871,
436,437,basionym,1191,
396,397,basionym,1772,
338,339,basionym,,
359,360,basionym,1199,
369,370,basionym,1245,
354,355,basionym,1781,
366,367,basionym,505,
342,343,basionym,1191,
344,345,basionym,1245,
357,358,basionym,1189,
352,353,basionym,693,
371,372,basionym,1205,
374,375,basionym,693,
362,363,basionym,1882,
379,380,basionym,1575,
387,388,basionym,1446,
1377,1378,basionym,1091,
1381,1382,basionym,592,
1384,1385,basionym,592,
1375,1376,basionym,1160,
1498,1499,basionym,435,
1494,1495,basionym,419,
1491,1492,basionym,,
1501,1502,basionym,1189,
1472,1473,basionym,383,
1288,1289,basionym,807,
1293,1294,basionym,637,
1325,1326,basionym,472,
1306,1307,basionym,1131,
1302,1303,basionym,905,
1308,1309,basionym,641,
1312,1313,basionym,1872,
1316,1317,basionym,1771,
1299,1300,basionym,1155,
1321,1322,basionym,1189,
1475,1476,basionym,1244,
1465,1466,basionym,1871,
1444,1445,basionym,472,
1452,1453,basionym,1595,
1460,1461,basionym,862,
2149,2150,basionym,582,
1528,1529,basionym,1245,
1818,1819,basionym,1763,
1540,1541,basionym,601,
1827,1828,basionym,1184,
1265,1266,basionym,1226,
1488,1489,basionym,1652,
1504,1505,basionym,1199,
2816,2817,basionym,1216,
1430,1431,basionym,,
1365,1366,basionym,592,
1362,1363,basionym,1771,
1334,1335,basionym,1872,
1353,1354,basionym,,
1357,1358,basionym,1870,
1346,1347,basionym,1595,
1348,1349,basionym,1872,
1522,1523,basionym,1875,
1519,1520,basionym,,
1275,1276,basionym,1870,
1281,1282,basionym,176,
890,891,basionym,693,
1479,1480,basionym,1207,
1481,1482,basionym,1237,
1399,1400,basionym,1214,
1427,1428,basionym,1460,
1272,1273,basionym,,
1435,1436,basionym,1191,
1437,1438,basionym,1212,
1439,1440,basionym,1191,
1510,1511,basionym,1872,
1513,1514,basionym,1174,
1406,1407,basionym,,
1425,1426,basionym,715,
1397,1398,basionym,1790,
1423,1424,basionym,693,
1404,1405,basionym,1174,
1257,1258,basionym,1267,
562,563,basionym,1874,
567,568,basionym,1189,
570,571,basionym,1684,
1231,1232,basionym,,
1247,1248,basionym,1111,
1252,1253,basionym,,
2493,2494,basionym,,
1225,1226,basionym,591,
1222,1223,basionym,1785,
559,560,basionym,1193,
576,577,basionym,1216,
1239,1240,basionym,106,
1142,1143,basionym,219,
1140,1141,basionym,219,
504,505,basionym,253,
510,511,basionym,689,
451,452,basionym,461,
902,903,basionym,719,
