ID,author,title,issued,containerTitle,volume,issue,page,link,citation
1,"Aarvik, L.","Contribution to the knowledge of the Norwegian Lepidoptera, II",1987,Fauna Norv. Ser. B,34,,7-13,,
2,"Aarvik, L. & Berggren, K.",Nye funn av sommerfugler i Norge 1,2001,Insekt-Nytt,26,,21-30,,
3,"Aarvik, L. & Bjoernstad, A.",Stenoptilia veronicae Karvonen new to Norway,1990,Fauna Norv. Ser. B,37,,42-43,,
4,"Aarvik, L. & Midtgaard, F.",Records of Lepidoptera from Haoya and Ostoya in inner Oslofjord,1986,Fauna Norv. Ser. B,33,,47-53,,
5,"Aarvik, L., Karsholt, O., Larsen, K. & Schnack, K.",New and interesting records of lepidoptera from Norway,1988,Fauna Norv. Ser. B,33,,77-90,,
6,"Adamczewski, S.",On the distinctness of the genera Oxyptilus Zeller and Capperia Tutt (Lep.),1939,Annls. Mus.Zool. Polonici,13,,259-268,,
7,"Adamczewski, S.","Notes on the plume-moths II. Capperia trichodactyla (Den. & Schiff., 1775) in Poland (Lep., Alucitidae)",1948,Polski Pismo ent.,18,,142-155,,
8,"Adamczewski, S.",Notes on the plume-moths III,1949,Polski Akad. Umiejetnosci,17,,1-11,,
9,"Adamczewski, S.","On the systematics and origin of the generic group Oxyptilus Zeller (Lep., Alucitidae)",1951,Bull. Br. Mus. Nat. Hist. (Ent.),1,,"301-388, plates 9-20",,
10,"Adamczewski, S.",The moths of Warsaw-City (Lep.),1951,Frag. Faun. Mus. Zool. Polonici,6,,111-128,,
11,"Adler, P.H.",Soil- and puddle-visiting habits of moths,1982,J. Lepid. Soc.,36,,161-173,,
12,"Agassiz, D.J.L.",Microlepidoptera - A review of the year 1987,1988,Entomologist's Rec. J. Var.,100,,118-130,,
13,"Agassiz, D.J.L.","Alucita ochrodactyla [Denis & Schiffermüller, 1775] (currently Gillmeria or Platyptilia ochrodactyla ; Insecta, Lepidoptera): proposed conservation of usage the specific name by the designation of a neotype for Phalaena tetradactyla Linnaeus, 1758",2001,Bull. Zool. Nomenclature,58,,282-285,,
14,"Agassiz, J.L.R.",Nomenclator zoologicus index universalis. In: Nomenclator Zoologicus,1847 (dated 1846),,2,,"i-viii, 1-393 pp. Soloduria,Jent & Grassmann.",,
15,"Agenjo, R.",Faunula lepidopterologica Almeriense,1952,,,,"1-371 pp., 24 plates. Madrid.",,
16,"Agenjo, R.",Nuevo Agdistis Betico-Marroqui,1952,Trans. IXth. Int. Congr. Ent. Amsterdam,1,,121-124,,
17,"Agenjo, R.",Catalogo ordenador de los lepidopteros de Espana,1966,Greallsia,22,,1-28,,
18,"Aguirre-Uribe, L.A. & Corrales, J.",Plagas potenciales del Guayule Parthenium argentatum (Gray) (Compositae) en el Sureste de Coahuila,1992,Folia ent. Mex.,84,,105-111,,
19,"Alibert, H.",Les Insectes vivant sur les Cacaoyers en Afrique Occidentale,1951,Memoires de l’Institute Français d’Afrique Noire,15,,65-67,,
20,"Alipanah, H. & Gielis, C.",Notes on the tribes Platyptiliini and Exelastini from Iran,2010,SHILAP Revista de lepidopterología,38,,57-63,https://www.redalyc.org/pdf/455/45514996002.pdf,
21,"Alipanah, H. & Ustjuzhanin, P.","New species, new synonymy and distribution records of the genus Agdistis Hübner, [1825] in Iran",2007,Nota Lepidopterologica,29,,177-184,,
22,"Alipanah, H. & Ustjuzhanin, P.Y.",An annotated list of the Pterophorinae of Iran,2005,Entomologica Fennica,16,,129-143,,
23,"Alipanah, H., Gielis, C., Sari, A., Sarafrazi, A. & Manzari, S.","Phylogenetic relationships in the tribe Oxyptilini (Lepidoptera, Pterophoridae, Pterophorinae) based on morphological data of adults",2011,Zoological Journal of the Linnean Society,163,,484-547,https://doi.org/10.1111/j.1096-3642.2011.00705.x,
24,"Alipanah, H., Sari, A., Sarafrazi, A., Gielis, C. & Manzari, S.","Key to the genera of Oxyptilini, with descriptions of two new genera",2010,Zootaxa,2693,,21-34,,
25,"Alphéraky, S.",Lepidoptera Causasi septentrionalis,1876,Trudy Russkago entomologicheskago obshchestva,10,,3-34,https://www.biodiversitylibrary.org/page/47933033,
26,"Altermatt, F.","A new species of Agdistis Hübner, [1825] from Tajikistan, Central Asia. Nota Lepidopterologica",2008,,31,,65-68,,
27,"Amary, A.",Insetti,1840,Esercitazioni Accademiche degli Aspiranti Naturalisti,2(1),,80-87,https://www.biodiversitylibrary.org/page/9238355,
28,"Amsel, H.G.",Die Lepidopteren Palaestinas. Eine zoogeographisch-oekologische Studie,1933,Zoogeographica,2,,1-137,,
29,"Amsel, H.G.",Neue palästinensische Lepidopteren,1935,Mitt. Zool. Mus. Berlin,20,,"271-319, 10 pl.",,
30,"Amsel, H.G.",Weitere Mitteilungen über palaestinensische Lepidopteren,1935,Veröff. Dtsch. Kol. Mus. Bremen,1,,225-277,,
31,"Amsel, H.G.",Über alte und neue Kleinschmetterlinge aus den Mittelmeegebiet,1940,Veröff. Dtsch. Kol. Mus. Bremen,3,,45,,
32,"Amsel, H.G.",Microlepidoptera collected by E. P. Wiltshire in Iraq and Iran,1949,Bull. Soc. Fouad Ent.,33,,"271-351, 12 pl.",,
33,"Amsel, H.G.",Lepidoptera Sardinica. III. Descrizione di specie nuove ed osservazioni sistematiche di carattere generale,1951,Fragm. ent.,1,,101-144,,
34,"Amsel, H.G.",Neue Maroccanische Kleinschmetterlinge,1951,Bull. Soc. Sci. Nat. Maroc,31,,65-74,,
35,"Amsel, H.G.",Microlepidoptera Venezolana,1954,Bol. ent. Venezolana,10,,"1-336, 110 plates.",,
36,"Amsel, H.G.","Neue Pterophoriden, Gelechiiden und Tineiden aus Palästina und Malta (Microlep.)",1954,Bull. Soc. Fouad Ent.,38,,51-53,,
37,"Amsel, H.G.",Neue oder bemerkenswerte Kleinschmetterlinge aus Syrien,1954,Bulletin of the Society Fouad I Entomology,38,,1-55,,
38,"Amsel, H.G.","Neue oder bemerkenswerte Kleinschmetterlinge aus Österreich, Italien, Sardinien und Corsica",1954,Z. wien. ent. Ges.,39,,5-17,,
39,"Amsel, H.G.",Kleinschmetterlinge vom Jordantal,1955,Z. wien. ent. Ges.,40,,276-282,,
40,"Amsel, H.G.",Über mediterrane Microlepidopteren und einige transcaspische Arten,1955,Bull. Inst. r. Sci. nat. Belg.,31,,1-64,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,
41,"Amsel, H.G.",Über die von Herrn E. de Bros in Spanisch-Marokko gesammelten Klein-Schmetterlinge,1956,Z. wien. ent. Ges.,41,,17-31,,
42,"Amsel, H.G.",Cyprische Kleinschmetterlinge,1958,Z. wien. ent. Ges.,43,,69-75,,
43,"Amsel, H.G.","Kleinschmetterlinge aus Nordost-Arabien, der Ausbeute A.S. Talhouk",1958,Beitr. naturk. Forsch. SüdW.Dtl.,17,,"61-82, 1 pl., 23 figs.",,
44,"Amsel, H.G.",Irakische Kleinschmetterlinge II,1959,Bull. Soc. ent. Egypt,43,,"41-83, 10 pl.",,
45,"Amsel, H.G.",Microlepidoptera aus Iran,1959,Stuttg. Beitr. Naturk.,28,,29-30,,
46,"Amsel, H.G.","Die Microlepidopteren der Brandt'schen Iran-Ausbeute, 5. Teil",1961,Ark. Zool. (N.S.),13,,"323-446, 9 plates, 136 figs.",,
47,"Amsel, H.G.","Microlepidopteren aus SW.-Arabien der Aus-beuten H. Scott und E.B. Britton, 1937/38",1961,Beitr. naturk. Forsch. SüdW.Dtl.,20,,49-61,,
48,"Amsel, H.G.",Kleinschmetterlinge aus Äthiopien,1963,Stuttg. Beitr. Naturk.,121,,1-12,,
49,"Amsel, H.G.","Ergebnisse der Zoologischen Nubien Expedition 1962. Teil XXIX (Lep.: Pyral., Pterophor.)",1965,Annls. nat. hist. Mus. Wien,68,,593-607,,
50,"Amsel, H.G.","Eine neue afghanische Stenoptilia Art (Lep., Pter.)",1967,Beitr. naturk. Forsch. SüdW.Dtl.,26,,15-16,,
51,"Amsel, H.G.",Zur Kenntnis der Microlepidopteren Fauna von Karachi (Pakistan),1968,Stuttg. Beitr. Naturk.,191,,14-15,,
52,"Andersen, T., Fjeldsa, A. & Moerch, A.","Lepidoptera from Sigdal and adjacent districts, western Buskerud, Norway. II. Tortricoidea, Pyraloidea and Pterophoridea",1979,Atalanta (Norway),3,,85-90,,
53,"Anderson, S.J., and others",New distribution records of the Star Fruit Moth (Diacrotricha fasciola) in Australia and Timor-Leste,2015,Northern Territory Naturalist,26,,76-84,,
54,"Anderson, S.J., Bellis, G.A., Thistleton, B.M., Tran-Nguyen, L.T., Edwards, T.D., Hobern, D., Quintao V., Halling, L. & Walker, J.A.",New distribution records of the Star Fruit Flower Moth (Diacrotricha fasciola) (Lepidoptera: Pterophoridae) in Australia and Timor-Leste,2015,Northern Territory Naturalist,26,,76-84,https://www.researchgate.net/publication/279752534,
55,"Anikin, V.V. & Zagulajev, A.K.",Little known species of Microlepidoptera from Lower Volga region,1992,Proc. Zool. Inst. St. Petersburg,248,,3-17,,
56,"Anikin, V.V., Sachkov, S.A., Zolotuhin, V.V. & Ustjuzhanin, P.Y.",“Fauna Lepidopterologica Volgo-Uralensis” 150 years later: changes and additions. Part 7: Pyrales et Pterophores,2003,Atalanta (Würzburg),34,,223-250,,
57,Anonymous,Systematisches Verzeichnis der Kleinschmetterlinge um Berlin,1879,Berl. ent. Z.,23,,49-58,,
58,Anonymous,A plume moth caused damage on Geranium in California and New Jersey,1964,Coop. Econ. Insect Rep.,14,,355,,
59,Anonymous,A plume moth as a pest on Geranium in California. Coop. Econ. Insect Rep.,1971,,21,,269,,
60,Anonymous,Checklist of Lepidoptera of South Africa,2001,,,,,,
61,"Arenberger, E.",Eine neue Agdistis-Art aus Kleinasien,1972,Beitr. naturk. Forsch. SüdW.Dtl.,31,,151-152,,
62,"Arenberger, E.",Die Agdistis-Arten Sardiniens. Studi Sass. III,1973,,21,,650-652,,
63,"Arenberger, E.",Eine neue Agdistis-Art von den Kanarischen Inseln,1973,Beitr. naturk. Forsch. SW.Deutschl.,32,,179-180,,
64,"Arenberger, E.",Eine neue Agdistis-Art aus der Caradja-Sammlung,1975,Trav. Mus. Hist. Nat. Gr. Antipa,16,,"205-206, 1 plate.",,
65,"Arenberger, E.",Pterophoriden aus Ägypten,1975,"Ent. Z., Frankf. a. M.",85,,111-116,,
66,"Arenberger, E.",Eine Agdistis-Art von Kreta,1976,Z. ArbGem. öst. Ent.,28,,7-8,,
67,"Arenberger, E.",Neue Agdistis-Arten,1976,Dt. ent. Z. (N.F.),23,,61-67,,
68,"Arenberger, E.",Die palaearktischen Agdistis-Arten,1977,Beitr. Naturk. Forsch. SW.Deutschl.,36,,185-226,,
