taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks,relatedTaxonLink,relatedTaxonOrder,relatedTaxonFamily,relatedTaxonFullName,relatedTaxonHTMLName
1775,,Haplopappus foliosus,eats,1736,,https://www.catalogue.life/data/taxon/47cf82ce-e556-4f82-8794-da9e18303018,Asterales,Asteraceae,Haplopappus foliosus DC.,<i>Haplopappus foliosus</i> DC.
1775,,Haplopappus chrysanthemifolius,eats,1907,,https://www.catalogue.life/data/taxon/9f87f348-21ac-408f-b845-be1856e2cf4b,Asterales,Asteraceae,Haplopappus chrysanthemifolius (Less.) DC.,<i>Haplopappus chrysanthemifolius</i> (Less.) DC.
1775,,Haplopappus decurrens,eats,1907,,https://www.catalogue.life/data/taxon/0e54a798-a2a5-4c9b-86cd-287e07868acd,Asterales,Asteraceae,Haplopappus decurrens Remy,<i>Haplopappus decurrens</i> Remy
1775,,Haplopappus multifolius,eats,1907,,https://www.catalogue.life/data/taxon/bda6a2bc-db79-4257-a7ce-2804aec55a17,Asterales,Asteraceae,Haplopappus multifolius Phil. ex Reiche,<i>Haplopappus multifolius</i> Phil. ex Reiche
1775,,Haplopappus schumannii,eats,1907,,https://www.catalogue.life/data/taxon/60fb7334-785a-40c4-bec5-8e01ed7f9f94,Asterales,Asteraceae,Haplopappus schumannii (Kuntze) G. K. Brown & W. D. Clark,<i>Haplopappus schumannii</i> (Kuntze) G. K. Brown & W. D. Clark
1775,,Haplopappus scrobiculatus,eats,1907,,https://www.catalogue.life/data/taxon/2a4e854c-8739-484e-83e0-f4c741d95f42,Asterales,Asteraceae,Haplopappus scrobiculatus (Nees) DC.,<i>Haplopappus scrobiculatus</i> (Nees) DC.
134,,Frankenia portulacifolia,eats,162,,https://www.catalogue.life/data/taxon/df53ae4f-8d82-4fe1-8fa2-f76fead415cc,Caryophyllales,Frankeniaceae,Frankenia portulacifolia (Roxb.) Spreng.,<i>Frankenia portulacifolia</i> (Roxb.) Spreng.
208,,Tamarix gallica,eats,,,https://www.catalogue.life/data/taxon/e0e89ccd-48fa-455e-836c-a77597678adf,Caryophyllales,Tamaricaceae,Tamarix gallica L.,<i>Tamarix gallica</i> L.
208,,Tamarix smyrnensis,eats,,,https://www.catalogue.life/data/taxon/6c8d5f62-f6d2-49a5-938d-2d20473afa2c,Caryophyllales,Tamaricaceae,Tamarix smyrnensis Bunge,<i>Tamarix smyrnensis</i> Bunge
208,,Myricaria germanica,eats,,,https://www.catalogue.life/data/taxon/ad1ed336-a928-4c56-970a-9a1bda646e5e,Caryophyllales,Tamaricaceae,Myricaria germanica (L.) Desv.,<i>Myricaria germanica</i> (L.) Desv.
108,,Limonium vulgare subsp. serotinum,eats,,,https://www.catalogue.life/data/taxon/3d18718d-19ae-4698-8582-1cd3a258446e,Caryophyllales,Plumbaginaceae,Limonium narbonense Miller,<i>Limonium narbonense</i> Miller
40,,Limonium vulgare,eats,,,https://www.catalogue.life/data/taxon/4d563d3d-af11-4623-a7e7-9d6ec94e3260,Caryophyllales,Plumbaginaceae,Limonium vulgare Miller,<i>Limonium vulgare</i> Miller
