taxonID,nameID,status,referenceID,remarks
18,19,synonym,,
18,20,synonym,,
18,21,synonym,,
18,22,synonym,,
18,23,synonym,,
208,209,synonym,,
208,210,synonym,,
208,211,synonym,,
108,109,synonym,,
108,110,synonym,,
40,41,synonym,,
136,137,synonym,,
136,138,synonym,,
136,139,synonym,,
136,140,synonym,,
136,141,synonym,,
136,142,synonym,,
136,143,synonym,,
189,190,synonym,,
25,26,synonym,,
25,27,synonym,,
25,28,synonym,,
25,29,synonym,,
98,99,synonym,,
98,100,synonym,,
194,195,synonym,,
194,196,synonym,,
77,78,synonym,,
77,79,synonym,,
77,80,synonym,,
77,81,synonym,,
77,82,synonym,,
77,83,synonym,,
77,84,synonym,,
129,130,synonym,,
129,131,synonym,,
129,132,synonym,,
129,133,synonym,,
165,166,synonym,,
219,220,synonym,,
51,52,synonym,,
153,154,synonym,,
153,155,synonym,,
75,76,synonym,,
95,96,synonym,,
177,178,synonym,,
87,88,synonym,,
57,58,synonym,,
192,193,synonym,,
290,291,synonym,,
304,305,synonym,,
300,301,synonym,,
302,303,synonym,,
292,293,synonym,,
272,273,synonym,,
274,275,synonym,,
276,277,synonym,,
278,279,synonym,,
287,288,synonym,,
280,281,synonym,,
261,262,synonym,,
233,234,synonym,,
252,253,synonym,,
252,254,synonym,,
252,255,synonym,,
252,256,synonym,,
252,257,synonym,,
252,258,synonym,,
237,238,synonym,,
244,245,synonym,,
247,248,synonym,,
249,250,synonym,,
249,251,synonym,,
2785,2786,synonym,,
2804,2805,synonym,,
2806,2807,synonym,,
2806,2808,synonym,,
2794,2795,synonym,1699,
2814,2815,synonym,,
2791,2792,synonym,,
1954,1955,synonym,,
2800,2801,synonym,,
2800,2802,synonym,,
2800,2803,synonym,,
1672,1673,synonym,,
2118,2119,synonym,,
1914,1915,synonym,,
1914,1916,synonym,,
2052,2053,synonym,,
2052,2054,synonym,,
2052,2055,synonym,,
1964,1965,synonym,,
1964,1966,synonym,,
1964,1967,synonym,,
1964,1968,synonym,,
1964,1969,synonym,,
1964,1970,synonym,,
2013,2014,synonym,,
2013,2015,synonym,,
2013,2016,synonym,,
1977,1978,synonym,,
1977,1979,synonym,,
1977,1980,synonym,,
1977,1981,synonym,,
1977,1982,synonym,,
1977,1983,synonym,,
1931,1932,synonym,,
1931,1933,synonym,,
1931,1934,synonym,,
1931,1935,synonym,,
1931,1936,synonym,,
1931,1937,synonym,,
1989,1990,synonym,,
1994,1995,synonym,,
1994,1996,synonym,,
1994,1997,synonym,,
2059,2060,synonym,,
2041,2042,synonym,,
1943,1944,synonym,,
1943,1945,synonym,,
1947,1948,synonym,,
1961,1962,synonym,,
1961,1963,synonym,,
2122,2123,synonym,,
2122,2124,synonym,,
1647,1648,synonym,,
1647,1649,synonym,,
1999,2000,synonym,,
2022,2023,synonym,,
1939,1940,synonym,,
1939,1941,synonym,,
1939,1942,synonym,,
1984,1985,synonym,,
2400,2401,synonym,,
1797,1798,synonym,,
2043,2044,synonym,,
2038,2039,synonym,,
1637,1638,synonym,,
1368,1369,synonym,,
1368,1370,synonym,,
1368,1371,synonym,,
1372,1373,synonym,,
1641,1642,synonym,,
1641,1643,synonym,,
1641,1644,synonym,,
406,407,synonym,,
2809,2810,synonym,,
1725,1726,synonym,,
1727,1728,synonym,,
1732,1733,synonym,,
1732,1734,synonym,,
1735,1736,synonym,,
1735,1737,synonym,,
1635,1636,synonym,,
2409,2410,synonym,,
2411,2412,synonym,,
1650,1651,synonym,,
1645,1646,synonym,,
1692,1693,synonym,,
1689,1690,synonym,,
