ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
1,,1,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,,,,,,,,,,,Animalia,,
2,1,2,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,,Animalia,,,,,,,,,Arthropoda,,
3,2,3,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,,Animalia,Arthropoda,,,,,,,,Insecta,,
4,3,4,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,,Animalia,Arthropoda,Insecta,,,,,,,Lepidoptera,,
5,4,5,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,,Animalia,Arthropoda,Insecta,Lepidoptera,,,,,,Pterophoroidea,,
6,5,6,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,,,,,Macropiratidae,,
7,6,7,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,,Agdistopis,,
9,7,9,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,Agdistopis,,Agdistopis griveaudi,
10,7,10,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,Agdistopis,,Agdistopis halieutica,
12,7,12,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Macropiratidae,,,Agdistopis,,Agdistopis sinhala,
16,5,16,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,,,,,Pterophoridae,,
17,16,17,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,,,,Agdistinae,,
18,17,18,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,,Agdistis,,
24,18,24,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis aberdareana,
25,18,25,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis adactyla,
30,18,30,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis adenensis,
31,18,31,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis africana,
32,18,32,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis aguessei,
33,18,33,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis americana,
34,18,34,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis andreeva,
35,18,35,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis anikini,
36,18,36,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis arabica,
37,18,37,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis arenbergeri,
38,18,38,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis asthenes,
39,18,39,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis bellissima,
40,18,40,C. Gielis & D. Hobern,2020-07-16,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoroidea,Pterophoridae,Agdistinae,,Agdistis,,Agdistis bennetii,
